"RBD","NOMBRE_ESTA","DEPENDENCIA","SOSTENEDOR","REGION","COMUNA","DIRECCION","TELEFONO","E-MAIL","Discapacidad Auditiva","Discapacidad Intelectual","Discapacidad Visual","Trastornos Específicos del Lenguaje","Trastornos Motores","Autismo","Graves Alteraciones en la Capacidad de Relación y Comunicación"
19960,"COLEGIO ANTUMALEN","Particular Subvencionado","Corporación Educacional Antumalen",9,"TEMUCO","VICUNA MACKENNA N° 29","45 - 2316029","colegioantumalen@hotmail.com","no","no","no","si","no","no","no"
19964,"ESC. ESPECIAL PART. ALENKURA","Particular Subvencionado","Sociedad Educacional Alenkura Ltda",9,"PADRE LAS CASAS","FUENTES N° 498","45 - 2336557","escuela.alenkura@gmail.com","no","si","no","no","no","no","no"
19969,"CENTRO EDUCACIONAL ESPECIAL INCLUSIVO SAN CRISTOBAL","Particular Subvencionado","Corporacion Educacional Araucanía Educa",9,"TEMUCO","LAS HERAS N° 161","45 - 2238622","centroinclusivo.sancristobal@gmail.com","si","si","no","no","no","no","no"
19973,"ESCUELA ESPECIAL HABLAARTE","Particular Subvencionado","Corporacion Educacional Santa Teresa",9,"TEMUCO","VALPARAISO N° 725","45 - 2647572","hablaarte@yahoo.com","no","no","no","si","no","no","no"
19984,"COLEGIO HOLANDA","Particular Subvencionado","Sociedad Educacional Kechu Domo Ltda.",9,"PADRE LAS CASAS","FUENTES 485 N° 485","45 - 335667","colegioholanda@yahoo.com","no","no","no","si","no","no","no"
20002,"ESCUELA DE LA COMUNICACION ICALMA","Particular Subvencionado","Sociedad Educacional Maihue Limitada",9,"TEMUCO","RECREO N° 495","45 - 366245","gladysfo@gmail.com","no","no","no","si","no","no","no"
20030,"ESC.ESPEC.ESDELENG TRAST.DE LA COMUNIC..","Particular Subvencionado","Sociedad Educacional Esdeleng Limitada",9,"NUEVA IMPERIAL","ALEJANDRO GOROSTIAGA N° 30","45 - 611001","esdeleng@gmail.com","no","no","no","si","no","no","no"
20058,"ESCUELA ESPECIAL LAS LILAS DE TRAIGUEN","Municipal Daem","Ilustre Municipalidad De Traiguen",9,"TRAIGUÉN","AV. SUIZA   1324 TRAIGUÉN","45 - 2456635","escuelalaslilastraiguen@gmail.com","no","si","no","no","no","no","no"
20097,"ESCUELA ESPECIAL ALFONSO RECART","Particular Subvencionado","Corporación Educacional Del Sur",9,"VILLARRICA","CALLE NUEVA 101","45 - 415980","escuelaalfonsorecart@yahoo.es","no","no","no","si","no","no","no"
20155,"ESCUELA ESP. DE LENGUAJE ANTUMAPU","Particular Subvencionado","Corporación Educacional Antumapu",9,"TEMUCO","G.CRUZ 632","45 - 984931","nbravov@gmail.com","no","no","no","si","no","no","no"
20203,"ESCUELA ESPECIAL DE LENGUAJE CRE-SER","Particular Subvencionado","Sociedad Educacional Farias Y Tapia Ltda.",9,"TEMUCO","LOS CLAVELES N° 1435","45 - 911382","claudia.tapia.g@gmail.com","no","no","no","si","no","no","no"
20204,"ESCUELA ESPECIAL RUCA MAHUIDA","Particular Subvencionado","Sociedad  Educacional Las Araucarias Ltda.",9,"VILLARRICA","MANUEL ANTONIO MATTA N° 350","45 - 410097","calu24@hotmail.com","no","no","no","si","no","no","no"
20206,"ESCUELA ESP.LENGUAJE ANDALUE","Particular Subvencionado","Corporacion Educacional Andalue",9,"LAUTARO","JOSE MIGUEL CARRERA N° 5","45 - 2531633","escuelalenguajeandalue@gmail.com","no","no","no","si","no","no","no"
20223,"ESCUELA ESPECIAL LIWEN","Particular Subvencionado","Sociedad Educacional Liwen Limitada",9,"TEMUCO","DINAMARCA N° 728","45 - 989283","escuelaliwen@gmail.com","no","si","no","no","no","no","no"
20225,"ESCUELA DE LENGUAJE MANANTIAL","Particular Subvencionado","Sociedad Educacional Manantial Limitada",9,"TEMUCO","DINAMARCA N° 760","45 - 2989130","escuela_manantial@live.cl","no","no","no","si","no","no","no"
20228,"ESCUELA ESPECIAL DE LENGUAJE ARCO IRIS","Particular Subvencionado","Sociedad Educacional Arcoiris Cares",9,"ANGOL","JOSE LUIS OSORIO 331","45 - 716694","esc_arcoiris@hotmail.com","no","no","no","si","no","no","no"
20237,"ESCUELA ESPECIAL DE LENGUAJE HABLAPALABRAS","Particular Subvencionado","Corporacion Educacional Hablapalabras",9,"TEMUCO","FRANCIA N° 305","45 - 2486251","hablapalabras@hotmail.com","no","no","no","si","no","no","no"
20239,"ESCUELA ESPECIAL DE LENGUAJE  VICTORIA","Particular Subvencionado","Consultora Educ. Y Capac. Danilo Weber Fernan",9,"VICTORIA","CONFEDERACIÓN SUIZA N° 651","45 - 2844942","escuelalenguajevictoria@hotmail.com","no","no","no","si","no","no","no"
20240,"ESCUELA ESPECIAL DE LENGUAJE CAPULLITO","Particular Subvencionado","Entidad Individual Educacional  Capullito",9,"CURACAUTÍN","SARGENTO  ALDEA  N° 298","45 - 882485","capullitolencu@hotmail.com","no","no","no","si","no","no","no"
20242,"ESCUELA ESPECIAL DE LENGUAJE COLEN","Particular Subvencionado","Serv.Educ. Natalia M. Gonzalez Riquelme Eirl.",9,"RENAICO","MALLECO N° 373","45 - 774414","nagonzalez00@gmail.com","no","no","no","si","no","no","no"
20243,"ESCUELA ESPECIAL DE LENGUAJE PEKES","Particular Subvencionado","Sociedad Educacional Meza Y Marquès Limitada",9,"TEMUCO","AVENIDA PRIETO NORTE N° 230","45 - 2409640","pekesescuela@gmail.com","no","no","no","si","no","no","si"
20246,"ESCUELA ESPECIAL DE LENGUAJE ALEMANIA","Particular Subvencionado","Sociedad Educacional Fuentes Y Torres Limitad",9,"TEMUCO","AVENIDA LUIS DURAND NRO. 03751, SECTOR FUNDO EL CARMEN","45 - 2898721","escuelalenguajealemania@gmail.com","no","no","no","si","no","no","no"
20247,"ESC. ESPECIAL LENGUAJE STA. PATRICIA","Particular Subvencionado","Corporacion Educacional Santa Patricia",9,"LAUTARO","RAMON FREIRE N° 1057","45 - 533612","escuelasantapatricia@gmail.com","no","no","no","si","no","no","no"
20250,"ESCUELA ESPECIAL DE LENGUAJE RAICES DEL SUR","Particular Subvencionado","Sociedad Educacional Raices Del Sur Limitada",9,"TEMUCO","CALLEJÓN MASSMANN 379, SECTOR AV. ALEMANIA","45 - 2529935","contacto@escuelaraicesdelsur.cl","no","no","no","si","no","no","no"
20252,"ESCUELA ESPECIAL DE LENGUAJE WILEF","Particular Subvencionado","Centro Educ. Gabriela Rebolledo Soto Eirl",9,"TEMUCO","GALILEO 1991/ LOCAL ANEXO: GALILEO NRO. 2036-2040","45 - 529262","escuelawilef@hotmail.com","no","no","no","si","no","no","no"
20257,"ESCUELA DE LENGUAJE SUYAI","Particular Subvencionado","Sociedad Educacional Bravo &Bravo Limitada",9,"NUEVA IMPERIAL","GENERAL URRUTIA N° 36","45 - 2612941","suyaiescuelas@gmail.com","no","no","no","si","no","no","no"
20264,"ESC.ESPECIAL LENGUAJE MANITOS PINTADAS","Particular Subvencionado","Soc. Establ. Educ. Martinez Y Salazar Limitad",9,"LOS SAUCES","ANIBAL PINTO N° 160","45 - 783486","esc_lenguaje_manitospintadas@hotmail.cl","no","no","no","si","no","no","no"
20268,"ESCUELA ESPECIAL DE LENGUAJE NIÑO JESUS","Particular Subvencionado","Sociedad Educacional Niño Jesus Limitada",9,"LONCOCHE","LORD COCRHANE N° 146","45 - 479046","escueladelenguaje.loncoche@gmail.com","no","no","no","si","no","no","no"
20271,"ESCUELA ESPECIAL DE LENGUAJE SUYAI VILCÚN","Particular Subvencionado","Sociedad Educacional Bravo &Bravo Limitada",9,"VILCÚN","BERNARDO O´HIGGINS N° 772","45 - 2562700","suyaiescuelas@gmail.com","no","no","no","si","no","no","no"
20273,"ESCUELA  ESPECIAL DE LENGUAJE ALUN SUYAI","Particular Subvencionado","Corporación Educacional Alun Suyai",9,"PADRE LAS CASAS","CARLOS BOMBERO  ESCOBAR N° 145","45 - 337455","alunsuyai@gmail.com","no","no","no","si","no","no","no"
20276,"ESCUELA ESP. DE LENGUAJE MI MUNDO EN PALABRAS","Particular Subvencionado","Felipe Hernandez Lopez Establecimientos Edu.",9,"LAUTARO","AVENIDA BAQUEDANO N° 1175","45 - 532812","vivianaelizabeth.jimenezcartes@gmail.com","no","no","no","si","no","no","no"
20283,"ESCUELA ESPECIAL DE LENGUAJE RAYEN","Particular Subvencionado","Corporacion Educacional Rayen Educa",9,"GORBEA","OHIGGINS N° 705","45 - 2492267","rayengorbea@gmail.com","no","no","no","si","no","no","no"
20284,"ESCUELA ESPECIAL DE LENGUAJE WE LIWEN","Particular Subvencionado","Corporacion Educacional Weliwen",9,"TOLTÉN","SAN MARTIN N° 232","45 - 2920032","escuelaweliwen@gmail.com","no","no","no","si","no","no","no"
20287,"ESCUELA ESPECIAL AMPALU","Particular Subvencionado","Sociedad Educacional Alteduc Limitada",9,"ANGOL","CAUPOLICAN N° 889","45 - 714759","esampalu.angol@gmail.com","no","si","no","no","no","no","no"
20288,"ESCUELA ESPECIAL `EL CASTILLO DEL LENGUAJE`","Particular Subvencionado","Centro Educacional Paula Andrea Piña Figueroa E.I.R.L",9,"TEMUCO","CALLE HOSCHTETTER N° 376","45 - 2240398","elcastillodellenguaje@gmail.com","no","no","no","si","no","no","no"
20291,"ESCUELA ESPECIAL DE LENGUAJE RENACER","Particular Subvencionado","Educación Especial Carlos Medina Scheeberger E.I.R.L",9,"TEMUCO","CENTENARIO N° 849","45 - 737788","escuelalenguajerenacer@hotmail.com","no","no","no","si","no","no","no"
20292,"ESCUELA ESPECIAL DE LENGUAJE LETRITAS","Particular Subvencionado","Sociedad Educacional San Sebastian Limitada",8,"CONCEPCIÓN","AVENIDA ANDALIEN N° 1086","41 - 2380667","escuela.letritas@gmail.com","no","no","no","si","no","no","no"
20293,"ESCUELA ESPECIAL DE LENGUAJE SEMILLITA","Particular Subvencionado","Sociedad Educacional Rivera, Garcia Y Rivera Ltda.",8,"ARAUCO","CONQUISTA  N° 96 - SECTOR CARAMPANGUE","44 - 2854105","escuela.semillita2014@gmail.com","no","no","no","si","no","no","no"
20294,"ESCUELA ESPECIAL N° 2458 KIMUNTUWE","Particular Subvencionado","Sociedad Educacional Fodevid Spa",13,"LAMPA","RIO CLARO N° 2676","2 - 25017378","patyalcayaga.profe@gmail.com","no","no","no","si","no","no","no"
20295,"ESCUELA  ESPECIAL  N° 208 LA  RONDA","Particular Subvencionado","Sociedad  Educacional Las  Araucarias  De  Linderos",13,"BUIN","FRANCISCO  JAVIER KRUGGER N° 3540","2 - 24082159","escueladelenguajelaronda@gmail.com","no","no","no","si","no","no","no"
20296,"ESCUELA ESPECIAL DE LENGUAJE PEUMAYEN","Particular Subvencionado","Sociedad Educacional Peumayen Ltda.",8,"HUALPÉN","ALICANTE N° 1116","41 - 2429126","adm.escuelapeumayen@gmail.com","no","no","no","si","no","no","no"
20301,"ESCUELA ESPECIAL DE TRANSTORNOS ESPECIFICOS DEL LENGUAJE ANDALUE","Particular Subvencionado","Sociedad Educacional Pulmahue Limitada",4,"LA SERENA","LINGUE, LA FLORIDA LA SERENA N° 4253","0 - 0","escueladeenguajeandalue@gmail.com","no","no","no","si","no","no","no"
20302,"ESCUELA ESPECIAL DE LENGUAJE KOLIBRI","Particular Subvencionado","Sociedad Educacional Sacre Y Quiñones Limitada",4,"LA SERENA","ENRIQUE MORENO N° 3767, LOTEO EX SUCESION GUZMAN , CIA BAJA","0 - 0","silviaquinoneslopez@yahoo.es","no","no","no","si","no","no","no"
20304,"ESCUELA ESPECIAL Nº204 MONTEALTO","Particular Subvencionado","Sociedad Educacional Colegio Montealto Ltda.",13,"EL MONTE","AVENIDA LOS LIBERTADORES N° 968","2 - 28156452","mleivailabaca@gmail.com","no","no","no","si","no","no","no"
20306,"ESCUELA ESPECIAL N°209 PEPITA DE SANDIA","Particular Subvencionado","Escuela De Lenguaje Pepita De Sandia Spa",13,"PAINE","AVENIDA GENERAL BAQUEDANO N° 1480","2 - 8244910","escuelapepitadesandia@gmail.com","no","no","no","si","no","no","no"
20313,"ESC.ESP.RIGOBERTA MENCHÚ II","Particular Subvencionado","Soc. Educ Rigoberta Menchu I Ltda",13,"LA PINTANA","CALLE LOS PLATANOS N° 485","2 - 28514287","escuelarigobertamenchu@gmail.com","no","si","no","no","no","no","no"
20314,"ESCUELA ESPECIAL DE LENGUAJE SAN IGNACIO","Particular Subvencionado","Corporación Educacional San Ignacio De Curicó",7,"CURICÓ","AVDA. CABALIN - SARMIENTO N° 98","75 - 2559224","escuelasanignaciosarmiento@gmail.com","no","no","no","si","no","no","no"
20315,"ESCUELA DE LENGUAGE ELIZA GOMEZ","Particular Subvencionado","Centro Educacional Elisa Gomez",13,"SAN BERNARDO","VICTORIA N° 760","2 - 8584259","escuelalenguajeeg@gmail.com","no","no","no","si","no","no","no"
20317,"CENTRO EDUCACIONAL LUZ DE LUNA","Particular Subvencionado","Educa Sandra Gonzalez Morales E.I.R.L.",13,"PUENTE ALTO","CALLE BRISAS DEL MAIPO N° 3755","2 - 28425012","centroseducacionalessg@gmail.com","no","si","no","si","no","no","no"
20321,"ESCUELA ESPECIAL N° 2462 SAN ANDRES DE BATUCO","Particular Subvencionado","Centro Educacional San Andres De Batuco Spa",13,"LAMPA","CALLE GARIBARDI N° 1027","9 - 75395138","escsanandresdebatuco1@gmail.com","no","no","no","si","no","no","no"
20323,"CARIQUEO","Particular Subvencionado","Sociedada De Servicios Educacionales Cariqueo Limitada",13,"QUILICURA","SANTA LUISA N° 364","22 - 9802631","escueladelenguajecariqueo@gmail.com","no","no","no","si","no","no","no"
20325,"ESCUELA ESPECIAL DE LENGUAJE KAILIN URUGUAY","Particular Subvencionado","Sociedad Educacional Puyehue Limitada",6,"RANCAGUA","AVDA URUGUAY N° 1189, VILLA TENIENTE","72 - 2752191","escuelakailinuruguay@gmail.com","no","no","no","si","no","no","no"
20327,"ESCUELA ESPECIAL DE LENGUAJE `PASITOS`","Particular Subvencionado","Corporación Educacional Pasos Del Aprendizaje",12,"PUNTA ARENAS","ROMULO CORREA N° 521","61 - 2217773","karenalarconibarra@gmail.com","no","no","no","si","no","no","no"
20328,"ESCUELA ESPECIAL DE LENGUAJE SAN FRANCISCO DE ASIS","Particular Subvencionado","Servicios Educacionales Roberto Mercado Varela",4,"COQUIMBO","AVENIDA PORTUGAL LOTEO PUNTA MIRA NORTE N° 2710","51 - 2520154","escufasis2@gmail.com","no","no","no","si","no","no","no"
20331,"ESCUELA ESPECIAL DE LENGUAJE `GENIOS DEL FUTURO`","Particular Subvencionado","Sociedad Yasna Dinamarca Lopez Eirl",6,"SAN VICENTE","AVDA. HORARIO ARANGUIZ N° 1162","72 - 2581664","escuelageniosdelfuturo@gmail.com","no","no","no","si","no","no","no"
20332,"ESCUELA ESPECIAL DEL LENGUAJE ALEGRIA DEL SABER","Particular Subvencionado","Sociedad Educacional Imagina Spa",4,"COQUIMBO","SANTIAGO AMENGUAL  N° 22","51 - 2310142","melissamarinsanmartin@hotmail.com","no","no","no","si","no","no","no"
20334,"ESCUELA ESPECIAL DE LENGUAJE ESTRELLITA DE BELÉN","Particular Subvencionado","Escuela Especial De Lenguaje Estrellita De Belén C.E.",15,"ARICA","MANUEL MATTA N° 1855","58 - 2317746","escuelaestrellitadebelen@gmail.com","no","no","no","si","no","no","no"
20335,"ESCUELA ESPECIAL DE LENGUAJE MIS TESOROS","Particular Subvencionado","Corporación Educacional Escuela Especial De Lenguaje Mis Pequeños Tesoros Retiro",7,"RETIRO","CALLE LIBERTAD N° 1000, SANTA AMELIA","73 - 288430","emispequenostesoros.r@gmail.com","no","no","no","si","no","no","no"
20339,"ESCUELA ESPECIAL DE LENGUAJE RAYITO DE LUZ","Particular Subvencionado","Sociedad De Servicios Educacionales Hermanos Soto Ltda",14,"PANGUIPULLI","ROBLE HUACHO N° 69","63 - 311688","mariasotodocente@hotmail.com","no","no","no","si","no","no","no"
20340,"ESCUELA ESPECIAL DE LENGUAJE LA COLMENA","Particular Subvencionado","Sociedad Educacional Gasma",6,"SAN FERNANDO","CAREL MAPU N° 150","0 - 0","escuela.lacolmena@gmail.com","no","no","no","si","no","no","no"
20341,"ESCUELA ESPECIAL DE LENGUAJE PANKULL","Particular Subvencionado","Sociedad Educacional Santa Maria Ltda.",6,"MOSTAZAL","CASILLA 2 CORREOS CHILE MOSTAZAL","72 - 2603559","direccion@pankull.com","no","no","no","si","no","no","no"
20342,"ESCUELA ESPECIAL DE LENGUAJE POLHUIN","Municipal Daem","Ilustre Municipalidad De Chanco",7,"CHANCO","SECTOR DE POLHUIN S/N","9 - 62048828","escuelapolhuin@gmail.com","no","no","no","si","no","no","no"
20343,"ESCUELA   ESPECIAL  N°  211 `KIMKUMTUN`","Particular Subvencionado","Escuela  De  Lenguaje Kimkuntum Ltda.",13,"SAN BERNARDO","ANIBAL  PINTO N° 38","2 - 8818529","kimkumtum@gmail.com","no","no","no","si","no","no","no"
20344,"ESCUELA ESPECIAL DE LENGUAJE PALABRAS DE CRISTAL","Particular Subvencionado","Corporación Educacional Palabras De Cristal De Longavi",7,"LONGAVÍ","PASAJE LOS CASTAÑOS  S/N","73 - 2658225","escuelapalabrasdecristal@gmail.com","no","no","no","si","no","no","no"
20345,"ESCUELA ESPECIAL N° 205 SANTA MARIA","Particular Subvencionado","Sociedad Educacional San Manuel Ltda.",13,"MELIPILLA","POLICARPO TORO N° 190","2 - 28321377","escuelalenguajesantamaria@gmail.com","no","no","no","si","no","no","no"
20346,"ESCUELA ESPECIAL DE LENGUAJE PEQUEÑO MUNDO","Particular Subvencionado","Sociedad  Educacional Valso Spa",4,"LA SERENA","NICARAGUA N° 1901","51 - 2225138","escuelap.mundo@gmail.com","no","no","no","si","no","no","no"
20349,"ESCUELA ESPECIAL DE LENGUAJE ARBOL SAGRADO","Particular Subvencionado","Sociedad Sierra Y Martinez Limitada",6,"MACHALÍ","EDUARDO ARELLANO N° 756, ALTO LO CASTILLO","72 - 2602203","arbolsagradoescuela@gmail.com","no","no","no","si","no","no","no"
20350,"ESCUELA ESPECIAL DE LENGUAJE PEUMAYEN","Particular Subvencionado","Sociedad Educacional Diaz Y Oyarzo Ltda.",6,"SAN FERNANDO","EL ALAMO PARCELA N° 15","72 - 2537199","peumayenelcanelo2015@gmail.com","no","no","no","si","no","no","no"
20351,"ESCUELA ESPECIAL PLAY SCHOOL","Particular Subvencionado","Servicios Educacionales Maria Jose Lopez Ortiz E.I.R.L.",8,"SAN PEDRO DE LA PAZ","AVD. LAS ROSAS N° 1735, INTERIOR 1-B HUERTOS FAMILIARES","9 - 77852917","mariajolop1@hotmail.com","no","si","no","no","no","no","no"
20354,"ESCUELA ESPECIAL DE LENGUAJE PEQUEÑOS REYES","Particular Subvencionado","Sciedad Educacional Arancibia Reyes Limitada",5,"LA CRUZ","ALFREDO NAZAR N° 5","33 - 2255813","colegiopreyes@yahoo.es","no","no","no","si","no","no","no"
20355,"ESCUELA ESPECIAL DE LENGUAJE SAN SEBASTIAN","Particular Subvencionado","Sociedad Educacional San Sebastian Limitada",4,"COQUIMBO","SS. JUAN PABLO II N° 3348","51 - 2490955","escuelasansebastian.3348@gmail.com","no","no","no","si","no","no","no"
20357,"ESCUELA ESPECIAL DE LENGUAJE ZAPATITO JUGUETON","Particular Subvencionado","Sociedad Para La Educacion Ulloa Y Salgado Limitada",9,"VILCÚN","CALLE MONTREAL N° 1413","45 - 2607879","zapatitojuguetonprimavera@gmail.com","no","no","no","si","no","no","no"
20358,"ESCUELA ESPECIAL DE LENGUAJE EDUCARTE","Particular Subvencionado","Sociedad Educacional Educarte Limitada",14,"VALDIVIA","GUALLIPEN N° 2546","63 - 2432730","educartevaldivia@gmail.com","no","no","no","si","no","no","no"
20360,"ESCUELA ESPECIAL DE LENGUAJE ARBOLIRIS","Particular Subvencionado","Sociedad Educacional Alerce Limitada",4,"LA SERENA","GABRIEL GONZALEZ VIDELA N° 4493","51 - 2641961","proyectoarboliris.dif@gmail.com","no","no","no","si","no","no","no"
20363,"ESCUELA ESPECIAL DE LENGUAJE PEQUEÑOS ARTISTAS","Particular Subvencionado","Sociedad Educacional La Familia Limitda",5,"QUILLOTA","SERRANO N° 424","33 - 2312612","lorena_basaure@hotmail.com","no","no","no","si","no","no","no"
20365,"ESCUELA ESPECIAL DE LENGUAJE MI MUNDO IDEAL","Particular Subvencionado","Corporación Educacional Integrasur De Puerto Montt",10,"PUERTO MONTT","AVELINO BRAVO  N° 164, POBLACION LIBERTAD","65 - 2213931","mimundoideal.alejandra@gmail.com","no","no","no","si","no","no","no"
20366,"ESCUELA ESPECIAL DE LENGUAJE AYEKANTUN","Particular Subvencionado","Sociedad Educacional Aravena Y Ponce",5,"QUILLOTA","AVENIDA DUEÑAS N° 88 - SAN PEDRO","33 - 2258335","lenguajeayekantun@gmail.com","no","no","no","si","no","no","no"
20368,"ESCUELA ESPECIAL DE LENGUAJE EL DUENDE DAPAFE","Particular Subvencionado","Jeanette De Las Maria Montoya Martinez Sostenedora Educacional E.I.R.L.",5,"QUILPUÉ","AVENIDA EL BELLOTO N° 650, BELLOTO NORTE","32 - 2124985","j.montoya@vtr.net","no","no","no","si","no","no","no"
20371,"ESCUELA ESPECIAL DE LENGUAJE ENE-TENE-TÚ","Particular Subvencionado","Sociedad Educacional Ramirez Limitada",5,"QUILPUÉ","CALLE SAN MARTIN N° 947","32 - 3115431","lenguajenetenetu@gmail.com","no","no","no","si","no","no","no"
20372,"ESCUELA ESPECIAL DE LENGUAJE EL SAUCE","Particular Subvencionado","Sociedad Educacional El Sauce Limitada",4,"COQUIMBO","AVENIDA EL SAUCE N° 2575","0 - 0","escueladelenguajeelsauce@gmail.com","no","no","no","si","no","no","no"
20373,"ESCUELA ESPECIAL DE LENGUAJE RAIMAU","Particular Subvencionado","Siciedad Educacional Raimapu Ltda.",5,"SAN FELIPE","AVDA. MICHIMALONGO N° 1780, VILLA EL CARMEN","34 - 2206220","escueladelenguajeraimapu2014@gmail.com","no","no","no","si","no","no","no"
20374,"ESCUELA ESPECIAL DE LENGUAJE LAWAL","Particular Subvencionado","Sociedad Educacional Lawal Limitada",10,"PUERTO MONTT","LAS CASCADAS N° 925, ALERCE","65 - 2292989","escueladelenguajelawal@gmail.com","no","no","no","si","no","no","no"
20375,"ESCUELA ESPECIAL DE LENGUAJE ESMERALDA","Particular Subvencionado","Sociedad Educacional Martinez Ramirez & Asociados Ltda.",6,"RENGO","CAMINO PUBLICO ROSARIO - QUINTA DE TILCOCO N° 6108","72 - 2601255","escuelalenguajeesmeralda.rengo@gmail.com","no","no","no","si","no","no","no"
20377,"ESCUELA ESPECIAL DE LENGUAJE SANTA MARIANA","Particular Subvencionado","Educacion Angela Maria Buritica Rubio E.I.R.L.",4,"LA SERENA","PERU LOTE 27 MZ 14 LAS COMPAÑIAS N° 2737","51 - 2641952","escuelalenguajesantamariana@yahoo.es","no","no","no","si","no","no","no"
20379,"ESCUELA ESPECIAL DE LENGUAJE SEMILLITAS DE AMOR","Particular Subvencionado","Yorka Montes Pedrero E.I.R.L.",5,"QUILPUÉ","POB. LAS ROSAS CALLE LOS LIRIOS N° 2253","32 - 2829047","yoreb77@hotmail.cl","no","no","no","si","no","no","no"
20381,"ESCUELA ESPECIAL DE LENGUAJE APRENDO FELIZ","Particular Subvencionado","Sociedad Sostenedora De Establ. Educ. Gonzalez Y Caileo Limitada",10,"PUERTO VARAS","FUNDO SANTA ROSA, LOTE 04 - A NUEVA BRAUNAU N° 4","9 - 68476442","jgonzalezcarcamo@gmail.com","no","no","no","si","no","no","no"
20383,"ESCUELA ESPECIAL DE LENGUAJE SAYEN","Particular Subvencionado","Sociedad Educacional Andres Bello Limitada",10,"OSORNO","IGNACIO SERRANO LOS JARDINES DE CASANOVA N° 1456","64 - 2217983","escuela.sayen.osorno@gmail.com","no","no","no","si","no","no","no"
20385,"ESCUELA ESPECIAL DE LENGUAJE ALMAGRO","Particular Subvencionado","Sociedad Larrain Soto Ltda.",8,"LOS ÁNGELES","ALMAGRO N° 995","43 - 2295672","esc.almagro@gmail.com","no","no","no","si","no","no","no"
20386,"ESCUELA ESPECIAL DE LENGUAJE LANKUYEN CARELMAPU","Particular Subvencionado","Sociedad Educacional Ce&Ca Limitada",10,"MAULLÍN","CAMINO MAR BRAVA S/Nº, CARELMAPU","65 - 2388504","lankuyencarelmapu@gmail.com","no","no","no","si","no","no","no"
20387,"ESCUELA ESPECIAL N° 206, DANTE ALIGHIERI","Particular Subvencionado","Servicios Educacionales Yolanda Rojas Hernandez",13,"PEÑAFLOR","CALLE LOS TILOS N° 505","2 - 28124360","a.machucam83@gmail.com","no","no","no","si","no","no","no"
20389,"ESCUELA ESPECIAL DE LENGUAJE CAPULLOS","Particular Subvencionado","Sociedad Educacional Muñoz Sepulveda Ltda.",8,"LOS ÁNGELES","RICARDO CASTRO N° 721","43 - 2544956","lenguajecapullos@gmail.com","no","no","no","si","no","no","no"
20391,"ESCUELA ESPECIAL DE LENGUAJE EL NOGAL","Particular Subvencionado","Sociedad Gonzalez Y Lagos  Sociedad Educacional Limitada",8,"FLORIDA","ELEUTERIO RAMIREZ N° 380","41 - 2645570","fresia.molina.henriquez@gmail.com","no","no","no","si","no","no","no"
20397,"ESCUELA ESPECIAL N°2466 NUESTROS HIJOS","Particular Subvencionado","Servicios Educacionales Mel Limitada",13,"CONCHALÍ","CALLE BERNA N° 1870","22 - 6235830","escuelanuestroshijos@gmail.com","no","no","no","si","no","no","no"
20405,"ESCUELA ESPECIAL DE LENGUAJE NUEVA HABLA PALABRA","Particular Subvencionado","Alvarez  Buonseiro Y Compañia Limitada",4,"COQUIMBO","AVDA PORTUGAL LOTEO PUNTA MIRA NORTE N° 2790","51 - 2540499","diamantescoquimbo@gmail.com","no","no","no","si","no","no","no"
20407,"ESCUELA ESPECIAL DE LENGUAJE Y PRE BASICA ALIWEN","Particular Subvencionado","Servic. Educac.Daniela Catherine Patiño Eirl",4,"LA SERENA","AVENIDA AURORA LAS COMPAÑIAS N° 3091","51 - 2280365","contactoescuelaaliwen@gmail.com","no","no","no","si","no","no","no"
20408,"ESCUELA ESPECIAL DE LENGUAJE HUELLITAS","Particular Subvencionado","Sociedad Educacional Huellitas Limitada",10,"PUERTO VARAS","VOLCAN ANTILLANCA Nº45","65 - 2710143","contacto@escuelahuellitas.cl","no","no","no","si","no","no","no"
20412,"ESCUELA DIFERENCIAL Y CENTRO DE ATENCION TEMPRANA LIBERTAD","Particular Subvencionado","Sociedad Educacional Libertad  Ltda.",8,"CONCEPCIÓN","FREIRE N° 1350","41 - 3220885","direccion.escuelalibertad@gmail.com","no","si","no","no","no","no","no"
20413,"ESPECIAL DE LENGUAJE COLORIN COLORADO","Particular Subvencionado","Sociedad Educacional Concha Y Figueroa Ltda.",8,"LOS ÁNGELES","MARCELLA N° 2278","43 - 2544174","esc.colorincolorado@gmail.com","no","no","no","si","no","no","no"
20414,"ESCUELA ESPECIAL DE LENGUAJE BRISTOL","Particular Subvencionado","Sociedad Educacional Bristol Limitada",8,"HUALPÉN","BRISTOL N° 2553","41 - 3215373","escuelabristol@gmail.com","no","no","no","si","no","no","no"
20416,"ESCUELA ESPECIAL DE LENGUAJE CREANDO SUEÑOS","Particular Subvencionado","Corporación Educacional Creando Sueños",8,"ÑIQUÉN","GENERAL VENEGAS N° 217","42 - 2522329","creandosuenios2014@gmail.com","no","no","no","si","no","no","no"
20421,"ESCUELA ESPECIAL DE LENGUAJE TUCAPEL","Particular Subvencionado","Sociedad Educacional Escuela Especial De Lenguaje Tucapel Ltda.",8,"TUCAPEL","CONDELL N° 190","0 - 0","damarisyer@gmail.com","no","no","no","si","no","no","no"
